thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
36.54,46.58,2.2,1.34,8.31,39.48,4.4,3.3,3.86,27.68,1.65,1.24,-2.85,18.02,5.81,4.36,-3.53,25.4,1.6,1.2
36.58,46.47,2.02,1.34,8.29,39.55,4.42,3.32,3.84,27.71,1.64,1.23,-2.86,18.07,5.81,4.36,-3.52,25.42,1.6,1.2
36.66,46.62,2.02,1.34,8.28,39.63,4.41,3.31,3.71,28.14,1.54,1.16,-2.79,17.99,5.78,4.33,-3.4,25.4,1.6,1.2
36.54,46.44,1.92,1.34,8.3,39.56,4.42,3.32,3.73,28.08,1.55,1.16,-2.81,18.08,5.78,4.33,-3.42,25.41,1.6,1.2
36.39,46.31,1.92,1.29,8.37,39.32,4.5,3.38,3.77,27.97,1.51,1.13,-2.83,18.21,5.76,4.32,-3.39,25.62,1.6,1.2
36.22,46.24,1.83,1.29,8.42,39.22,4.45,3.33,3.88,27.72,1.52,1.14,-2.73,18.05,5.75,4.31,-3.29,25.54,1.6,1.2
36.32,46.21,1.74,1.29,8.47,39.16,4.45,3.33,3.94,27.72,1.54,1.16,-2.64,18.04,5.75,4.31,-3.31,25.55,1.6,1.2
36.83,46.34,1.74,1.32,8.41,38.88,4.63,3.47,3.91,27.55,1.57,1.18,-2.38,17.86,5.62,4.21,-3.39,25.83,1.59,1.19
38.84,46.21,1.92,1.39,8.47,39.09,5.22,3.91,3.02,29.01,1.69,1.27,-2.43,18.58,5.65,4.24,-3.93,27.32,1.6,1.2
41.52,45.49,1.92,1.39,8.89,38.24,5.13,3.85,3.03,28.68,2.19,1.64,-1.78,19.02,5.7,4.27,-3.56,29.97,1.65,1.24
43.75,44.92,1.65,1.39,9.83,36.07,5.25,3.94,5.27,25.25,2.31,1.73,-0.91,17.81,5.68,4.26,-2.57,28.9,1.62,1.21
43.53,44.37,1.38,1.39,10.37,35.11,4.92,3.69,6.28,22.95,2.69,2.02,0.14,17.36,5.68,4.26,-2.45,29.5,1.38,1.03
44.13,44.75,1.29,1.42,10.69,34.39,4.88,3.66,7.28,21.11,2.8,2.1,1.11,15.64,5.75,4.31,-2.41,29.51,1.23,0.92
45.28,47.05,1.19,1.7,10.62,34.71,4.83,3.62,7.59,21.31,2.71,2.03,1.86,16.1,5.73,4.3,-2.38,28.93,1.24,0.93
45.33,46.19,1.19,1.63,11.04,34.05,4.64,3.48,8.42,20.68,2.79,2.09,2.78,15.98,5.78,4.33,-2.41,29.38,1.15,0.86
42.63,38.77,1.52,1.44,11.56,32.93,4.35,3.27,9.45,19.03,2.79,2.09,3.82,15.08,5.75,4.31,-2.27,28.62,0.96,0.72
39.41,30.87,13.67,2.07,12.29,31.63,4.18,3.13,10.05,17.55,3.22,2.41,4.75,14.52,5.7,4.27,-2.4,30.73,0.89,0.67
40.99,30.84,19.96,2.35,12.17,32.13,4,3,10.05,17.54,3.38,2.53,4.7,14.38,5.46,4.09,-3.3,36.55,0.86,0.65
42.08,33.15,25,2.73,11.63,33.45,3.93,2.95,10.03,17.65,3.42,2.56,4.7,14.65,5.41,4.05,-3.9,40.32,1.25,0.94
43.71,39.7,33.2,2.92,11.01,35.27,3.73,2.8,9.92,18.14,3.13,2.35,4.18,16.85,5.05,3.79,-3.96,41.36,1.65,1.24
44.03,37.82,30.28,2.35,10.99,35.75,3.48,2.61,10.04,17.6,2.78,2.08,4.15,16.87,4.95,3.71,-3.81,40.9,1.73,1.3
44.31,36.66,29.42,2.35,10.86,36.01,3.38,2.53,9.99,17.81,2.84,2.13,3.9,17.16,4.63,3.47,-4.22,41.76,1.5,1.13
43.97,35.03,28.69,2.33,10.18,37.48,3.37,2.53,9.71,19.07,2.8,2.1,3.75,17.91,4.89,3.67,-6.26,45.05,1.32,0.99
44.08,35.17,29.09,2.92,9.94,38.35,3.38,2.53,9.59,19.64,2.87,2.15,3.81,18.18,4.99,3.74,-6.2,45.05,1.32,0.99
43.89,35.08,29.71,2.71,8.78,41.08,3.84,2.88,9.45,20.27,2.86,2.15,3.87,17.84,4.97,3.73,-6.07,44.52,1.3,0.98
43,33.15,28.69,2.49,8.43,42.17,4.63,3.47,9.32,20.86,2.79,2.09,3.89,17.64,5.05,3.79,-6.68,45.14,1.22,0.91
42.92,32.08,28.32,2.33,8.15,42.76,4.57,3.43,9.25,21.14,3.25,2.44,3.97,17.39,5.46,4.1,-6.76,45.27,1.23,0.92
42.71,31.2,28,2.18,8.04,43.11,4.39,3.3,9.2,21.38,3.4,2.55,3.97,17.36,5.6,4.2,-7.02,45.64,1.18,0.89
43.48,30.97,27.57,2.16,7.68,44.09,4.22,3.17,8.95,22.52,3.42,2.56,3.79,18.12,5.59,4.19,-7.03,45.93,1.15,0.86
