thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
6.14,0.21,37.67,19.61,-4.99,-10.38,4.54,3.41,-19.22,-7.58,0.99,0.74,-14.58,56.8,89.38,67.04,-18.17,55.65,88,66
6.12,0.21,37.66,19.61,-5.01,-10.39,4.54,3.4,-19.21,-7.6,0.99,0.74,-14.57,56.86,89.44,67.08,-18.18,55.61,88,66
6.08,0.23,37.67,19.58,-4.96,-10.4,4.54,3.41,-19.17,-7.62,0.99,0.74,-14.54,56.89,89.38,67.04,-18.18,55.59,88,66
6.04,0.24,37.67,19.58,-4.93,-10.4,4.57,3.43,-19.15,-7.62,0.99,0.74,-14.49,57.48,89.38,67.04,-18.18,55.62,87.95,65.96
6.02,0.23,37.67,19.58,-4.9,-10.44,4.55,3.42,-19.13,-7.57,0.99,0.74,-14.48,57.54,89.38,67.04,-18.19,55.61,87.98,65.98
6.02,0.16,37.56,19.58,-4.88,-10.45,4.53,3.4,-19.12,-7.53,0.99,0.74,-14.5,57.29,89.38,67.04,-18.21,55.61,88,66
6.02,0.2,37.61,19.58,-4.87,-10.45,4.57,3.42,-19.1,-7.53,0.99,0.74,-14.48,57.38,89.32,66.99,-18.2,55.61,87.96,65.97
5.98,0.19,37.56,19.58,-4.88,-10.47,4.57,3.42,-19.11,-7.54,0.99,0.74,-14.44,57.87,89.26,66.94,-18.2,55.63,87.98,65.98
5.97,0.24,37.56,19.55,-4.86,-10.48,4.58,3.43,-19.09,-7.52,0.99,0.74,-14.43,57.99,89.26,66.94,-18.19,55.64,88,66
5.92,0.26,37.55,19.57,-4.86,-10.53,4.6,3.45,-19.09,-7.59,0.98,0.74,-14.42,58,89.32,66.99,-18.2,55.62,88,66
5.91,0.27,37.56,19.61,-4.88,-10.56,4.59,3.44,-19.1,-7.62,0.98,0.73,-14.46,57.48,89.29,66.97,-18.22,55.62,88,66
5.89,0.24,37.51,19.61,-4.88,-10.59,4.6,3.45,-19.1,-7.64,0.98,0.73,-14.45,57.65,89.32,66.99,-18.22,55.6,87.98,65.99
5.86,0.26,37.46,19.61,-4.9,-10.63,4.61,3.46,-19.12,-7.64,0.98,0.73,-14.44,57.98,89.32,66.99,-18.21,55.6,88,66
5.83,0.32,37.5,19.62,-4.9,-10.65,4.64,3.48,-19.12,-7.65,0.98,0.73,-14.44,57.97,89.32,66.99,-18.21,55.6,87.99,65.99
5.83,0.31,37.46,19.64,-4.88,-10.68,4.65,3.48,-19.1,-7.66,0.97,0.73,-14.42,58.08,89.32,66.99,-18.21,55.6,87.93,65.95
5.82,0.34,37.46,19.65,-4.88,-10.7,4.64,3.48,-19.09,-7.68,0.98,0.73,-14.41,58.08,89.29,66.97,-18.21,55.61,87.96,65.97
5.76,0.43,37.56,19.67,-4.91,-10.72,4.64,3.48,-19.08,-7.74,0.98,0.73,-14.4,58.16,89.26,66.94,-18.22,55.63,87.97,65.97
5.74,0.41,37.56,19.66,-4.94,-10.73,4.64,3.48,-19.11,-7.75,0.98,0.73,-14.4,58.29,89.26,66.94,-18.21,55.6,87.93,65.95
5.73,0.43,37.56,19.62,-4.94,-10.74,4.63,3.47,-19.13,-7.73,0.97,0.73,-14.4,58.4,89.26,66.94,-18.21,55.59,87.96,65.97
5.73,0.39,37.51,19.58,-4.93,-10.73,4.64,3.48,-19.12,-7.75,0.98,0.73,-14.44,57.88,89.26,66.94,-18.23,55.6,87.99,65.99
